Pt,Time,Freq,Zreal,Zimag,Zsig,Zmod,Zphz,Idc,Vdc,IERange
#,s,Hz,ohm,ohm,V,ohm,°,A,V,#
0,2,9946.65,125.466,-139.8451,1,187.8786,-48.10223,6.44E-07,1.93E-05,8
1,4,7888.72,134.5347,-169.8497,1,216.676,-51.61793,4.32E-07,2.10E-05,8
2,5,6288.11,145.4345,-205.2562,1,251.5578,-54.68048,3.03E-07,1.85E-05,8
3,6,5039.063,158.593,-247.0129,1,293.5423,-57.29778,2.56E-07,2.18E-05,8
4,8,4001.524,175.5999,-299.4132,1,347.1075,-59.60923,1.94E-07,2.33E-05,8
5,9,3164.063,197.3519,-363.8963,1,413.9665,-61.5277,1.55E-07,2.35E-05,8
6,10,2507.267,224.7534,-441.1595,1,495.1118,-63.00295,1.26E-07,2.32E-05,8
7,11,1979.167,260.3712,-535.8706,1,595.7772,-64.0856,1.04E-07,2.20E-05,8
8,12,1598.011,301.3459,-638.1473,1,705.7204,-64.72239,8.83E-08,2.36E-05,8
9,14,1257.622,360.7822,-774.3835,1,854.303,-65.01938,7.34E-08,2.07E-05,8
10,15,1004.464,433.0436,-926.3699,1,1022.589,-64.94565,5.97E-08,1.70E-05,8
11,16,800.3049,528.0826,-1105.837,1,1225.458,-64.47361,5.33E-08,2.10E-05,8
12,17,631.0096,658.6399,-1324.744,1,1479.444,-63.56423,4.77E-08,2.38E-05,8
13,18,498.6702,829.716,-1572.487,1,1777.961,-62.18183,3.88E-08,2.02E-05,8
14,20,397.2458,1043.339,-1837.688,1,2113.209,-60.41446,-5.73E-09,2.47E-05,7
15,21,319.6023,1304.372,-2113.095,1,2483.256,-58.31378,-1.00E-08,2.04E-05,7
16,22,251.1161,1668.967,-2427.697,1,2946.042,-55.49267,-1.20E-08,2.17E-05,7
17,23,200.8929,2084.596,-2712.857,1,3421.276,-52.46084,-1.56E-08,2.34E-05,7
18,24,158.0056,2617.538,-2988.536,1,3972.764,-48.78619,-1.73E-08,2.27E-05,7
19,25,125.558,3202.597,-3197.053,1,4525.237,-44.95036,-1.96E-08,2.37E-05,7
20,27,99.734,3842.26,-3327.487,1,5082.827,-40.89333,-2.26E-08,2.08E-05,7
21,28,79.44915,4488.865,-3373.924,1,5615.45,-36.92928,-4.12E-08,2.20E-05,7
22,29,63.34459,5115.641,-3335.845,1,6107.18,-33.10786,-3.90E-08,2.25E-05,7
23,30,49.86702,5786.827,-3181.303,1,6603.64,-28.79976,-4.02E-08,2.23E-05,7
24,31,38.10976,6428.103,-2949.177,1,7072.351,-24.64539,-4.11E-08,2.27E-05,7
25,33,31.25,6837.679,-2752.055,1,7370.73,-21.92399,-4.18E-08,2.23E-05,7
26,34,24.93351,7242.598,-2516.837,1,7667.443,-19.16258,-4.41E-08,2.16E-05,7
27,35,19.94681,7578.609,-2292.2,1,7917.67,-16.82828,-4.46E-08,2.35E-05,7
28,37,15.57309,7889.89,-2066.674,1,8156.071,-14.67826,-4.46E-08,2.26E-05,7
29,38,12.40079,8132.243,-1889.986,1,8348.978,-13.08365,-4.42E-08,2.33E-05,7
30,39,9.91015,8340.381,-1748.957,1,8521.784,-11.84318,-4.37E-08,2.25E-05,7
31,41,7.971939,8523.406,-1643.817,1,8680.472,-10.91599,-4.25E-08,2.19E-05,7
32,43,6.351626,8699.886,-1566.071,1,8839.717,-10.20456,-4.16E-08,2.17E-05,7
33,45,4.970838,8880.488,-1518.947,1,9009.454,-9.70613,-4.00E-08,2.15E-05,7
34,47,3.942389,9050.919,-1507.305,1,9175.571,-9.455045,-3.82E-08,2.30E-05,7
35,49,3.16723,9215.427,-1524.736,1,9340.713,-9.394745,-3.60E-08,2.17E-05,7
36,52,2.485419,9403.688,-1559.32,1,9532.09,-9.415117,-3.49E-08,2.07E-05,7
37,55,1.971194,9597.15,-1638.636,1,9736.04,-9.68935,-3.34E-08,2.22E-05,7
38,59,1.605308,9783.13,-1732.241,1,9935.3,-10.04095,-2.91E-08,2.21E-05,7
39,63,1.260081,10016.29,-1870.358,1,10189.42,-10.57712,-2.60E-08,2.25E-05,7
40,68,1.001603,10259.24,-2029.456,1,10458.04,-11.18964,-2.32E-08,2.08E-05,7
41,74,0.7971939,10523.74,-2216.663,1,10754.66,-11.89459,-2.06E-08,2.12E-05,7
42,81,0.6334459,10814.67,-2434.752,1,11085.36,-12.6877,-1.82E-08,2.29E-05,7
43,90,0.5029507,11133.91,-2686.325,1,11453.4,-13.56474,-1.60E-08,2.24E-05,7
44,101,0.3985969,11488.6,-2975.2,1,11867.59,-14.51891,-1.41E-08,2.41E-05,7
45,115,0.316723,11877.76,-3298.33,1,12327.21,-15.51942,-1.25E-08,2.49E-05,7
46,132,0.2514753,12309.45,-3661.458,1,12842.46,-16.56516,-1.08E-08,2.58E-05,7
47,153,0.199638,12789.52,-4068.252,1,13420.97,-17.64549,-9.23E-09,2.35E-05,7
48,179,0.1585758,13320.77,-4520.32,1,14066.84,-18.74433,-7.86E-09,2.31E-05,7
49,211,0.1260081,13912.55,-5025.301,1,14792.32,-19.86004,-6.62E-09,2.32E-05,7
50,252,0.1000747,14610.68,-5594.589,1,15645.17,-20.95239,-5.71E-09,2.25E-05,7
